claim_id,kam_decision,retailer_response,final_settled_amount_usd,kam_note
CLM-0000,Paid,,1624.71,
CLM-0001,Paid,,877.45,
CLM-0002,Paid,,191.12,
CLM-0003,Held,,484.78,awaiting evidence
CLM-0004,Held,,1286.03,pending promo reference
CLM-0005,Paid,,265.73,
CLM-0006,Paid,,640.01,
CLM-0007,Paid,,45.82,
CLM-0008,Rejected,Accepted,0.0,
CLM-0009,Paid,,3614.58,
CLM-0010,Paid,,1345.77,
CLM-0011,Paid,,1326.82,
CLM-0012,Paid,,435.05,
CLM-0013,Paid,,46.05,
CLM-0014,Paid,,42.66,
CLM-0015,Paid,,591.08,
CLM-0016,Paid,,1516.78,
CLM-0017,Paid,,1058.21,waived - below dispute-cost threshold
CLM-0018,Paid,,151.61,
CLM-0019,Paid,,591.57,
CLM-0020,Paid,,1320.27,
CLM-0021,Paid,,40.96,
CLM-0022,Held,,383.22,awaiting evidence
CLM-0023,Paid,,422.05,
CLM-0024,Paid,,318.18,
CLM-0025,Rejected,Disputed,589.61,
CLM-0026,Paid,,39.34,
CLM-0027,Paid,,895.35,
CLM-0028,Rejected,Disputed,196.19,
CLM-0029,Paid,,208.28,
CLM-0030,Paid,,1252.98,
CLM-0031,Paid,,226.93,
CLM-0032,Paid,,3495.5,
CLM-0033,Paid,,1624.71,
CLM-0034,Paid,,896.96,
CLM-0035,Rejected,Accepted,0.0,
CLM-0036,Paid,,76.55,
CLM-0037,Paid,,436.4,
CLM-0038,Paid,,900.96,
CLM-0039,Rejected,Accepted,0.0,
CLM-0040,Rejected,Accepted,0.0,
CLM-0041,Paid,,1133.63,
CLM-0042,Paid,,5922.31,
CLM-0043,Paid,,256.62,
CLM-0044,Paid,,39.75,
CLM-0045,Held,,152.98,evidence requested from retailer
CLM-0046,Paid,,315.04,
CLM-0047,Paid,,141.35,
CLM-0048,Paid,,1108.69,
CLM-0049,Held,,1392.98,awaiting evidence
CLM-0050,Paid,,1498.19,
CLM-0051,Rejected,Accepted,0.0,
CLM-0052,Held,,699.95,pending promo reference
CLM-0053,Paid,,129.48,
CLM-0054,Paid,,1280.11,
CLM-0055,Paid,,1275.23,
CLM-0056,Rejected,Accepted,0.0,
CLM-0057,Rejected,Accepted,0.0,
CLM-0058,Paid,,245.47,
CLM-0059,Paid,,225.53,
CLM-0060,Paid,,604.45,
CLM-0061,Paid,,52.52,
CLM-0062,Paid,,345.35,
CLM-0063,Paid,,1343.87,
CLM-0064,Paid,,39.55,
CLM-0065,Paid,,350.81,
CLM-0066,Paid,,39.63,
CLM-0067,Rejected,Disputed,899.91,
CLM-0068,Paid,,233.96,
CLM-0069,Paid,,918.35,
CLM-0070,Paid,,128.09,
CLM-0071,Paid,,189.78,
CLM-0072,Paid,,40.93,
CLM-0073,Paid,,581.16,
CLM-0074,Paid,,114.58,
CLM-0075,Paid,,177.14,
CLM-0076,Paid,,1086.51,
CLM-0077,Paid,,1402.79,
CLM-0078,Paid,,114.5,
CLM-0079,Paid,,433.97,
CLM-0080,Paid,,1122.76,
CLM-0081,Paid,,1604.29,
CLM-0082,Rejected,Disputed,293.47,
CLM-0083,Paid,,899.79,
CLM-0084,Rejected,Disputed,3495.27,
CLM-0085,Paid,,102.87,
CLM-0086,Paid,,244.62,
CLM-0087,Rejected,Accepted,0.0,
CLM-0088,Rejected,Disputed,590.07,
CLM-0089,Rejected,Disputed,1326.65,
CLM-0090,Paid,,245.97,
CLM-0091,Paid,,63.4,
CLM-0092,Paid,,54.3,
CLM-0093,Paid,,93.54,
CLM-0094,Paid,,301.57,
CLM-0095,Paid,,258.3,
CLM-0096,Rejected,Accepted,0.0,
CLM-0097,Paid,,214.08,
CLM-0098,Held,,176.28,pending promo reference
CLM-0099,Held,,323.05,awaiting evidence
CLM-0100,Paid,,70.91,
CLM-0101,Paid,,40.7,
CLM-0102,Paid,,348.45,
CLM-0103,Paid,,228.43,
CLM-0104,Paid,,390.36,
CLM-0105,Paid,,40.42,
CLM-0106,Paid,,191.12,
CLM-0107,Paid,,886.56,
CLM-0108,Paid,,222.98,"waived - commercial call, KAM discretion"
CLM-0109,Paid,,50.96,
CLM-0110,Paid,,1370.69,
CLM-0111,Paid,,130.38,
CLM-0112,Paid,,104.83,
CLM-0113,Paid,,105.22,
CLM-0114,Paid,,232.27,
CLM-0115,Paid,,73.64,
CLM-0116,Paid,,251.6,
CLM-0117,Paid,,239.82,
CLM-0118,Paid,,198.24,
CLM-0119,Paid,,690.49,
CLM-0120,Paid,,238.99,
CLM-0121,Paid,,1032.84,
CLM-0122,Paid,,67.85,
CLM-0123,Paid,,751.51,
CLM-0124,Paid,,1129.86,
CLM-0125,Paid,,756.99,
CLM-0126,Paid,,127.99,
CLM-0127,Paid,,368.07,
CLM-0128,Paid,,1123.78,
CLM-0129,Paid,,142.82,
CLM-0130,Paid,,1368.09,
CLM-0131,Paid,,398.27,
CLM-0132,Paid,,914.32,
CLM-0133,Rejected,Disputed,39.14,
CLM-0134,Rejected,Accepted,0.0,
CLM-0135,Paid,,1066.04,
CLM-0136,Rejected,Accepted,0.0,
CLM-0137,Paid,,438.54,
CLM-0138,Paid,,156.86,
CLM-0139,Paid,,325.17,
CLM-0140,Paid,,239.51,
CLM-0141,Paid,,132.41,
CLM-0142,Paid,,892.94,
CLM-0143,Paid,,86.19,
CLM-0144,Paid,,39.65,
CLM-0145,Rejected,Disputed,1368.6,
CLM-0146,Paid,,443.79,
CLM-0147,Paid,,114.82,
CLM-0148,Paid,,49.38,
CLM-0149,Paid,,40.71,
CLM-0150,Paid,,449.69,
CLM-0151,Paid,,484.78,
CLM-0152,Held,,610.43,evidence requested from retailer
CLM-0153,Paid,,1491.8,
CLM-0154,Rejected,Disputed,1164.62,
CLM-0155,Paid,,594.89,
CLM-0156,Paid,,149.02,
CLM-0157,Paid,,288.43,
CLM-0158,Paid,,97.1,
CLM-0159,Paid,,79.47,
CLM-0160,Paid,,175.06,
CLM-0161,Paid,,602.8,
CLM-0162,Paid,,393.86,
CLM-0163,Paid,,186.41,
CLM-0164,Paid,,312.42,
CLM-0165,Paid,,268.05,
CLM-0166,Paid,,39.47,
CLM-0167,Held,,603.78,pending promo reference
CLM-0168,Rejected,Disputed,301.81,
CLM-0169,Paid,,39.68,
CLM-0170,Paid,,1372.29,
CLM-0171,Paid,,908.02,
CLM-0172,Paid,,480.75,
CLM-0173,Paid,,65.32,
CLM-0174,Paid,,39.8,
CLM-0175,Held,,503.58,evidence requested from retailer
CLM-0176,Paid,,447.24,
CLM-0177,Paid,,113.96,
CLM-0178,Paid,,313.01,
CLM-0179,Paid,,860.71,
CLM-0180,Held,,424.83,evidence requested from retailer
CLM-0181,Paid,,39.91,
CLM-0182,Rejected,Accepted,0.0,
CLM-0183,Paid,,216.35,
CLM-0184,Paid,,87.3,
CLM-0185,Paid,,228.63,
CLM-0186,Paid,,62.31,
CLM-0187,Paid,,1286.03,waived - retailer mid-renegotiation
CLM-0188,Paid,,373.22,
CLM-0189,Paid,,907.58,
CLM-0190,Paid,,1128.03,
CLM-0191,Paid,,41.41,
CLM-0192,Paid,,270.34,
CLM-0193,Paid,,1044.86,
CLM-0194,Rejected,Accepted,0.0,
CLM-0195,Paid,,181.65,
CLM-0196,Paid,,360.31,
CLM-0197,Paid,,54.32,
