claim_id,defect_type,entitled_amount_usd,claimed_amount_usd,overclaim_usd,is_clean
CLM-0000,clean,1624.71,1624.71,0.0,True
CLM-0001,clean,877.45,877.45,0.0,True
CLM-0002,clean,191.12,191.12,0.0,True
CLM-0003,clean,484.78,484.78,0.0,True
CLM-0004,clean,1286.03,1286.03,0.0,True
CLM-0005,clean,265.73,265.73,0.0,True
CLM-0006,arithmetic_error,592.6,640.01,47.41,False
CLM-0007,clean,45.82,45.82,0.0,True
CLM-0008,arithmetic_error,143.15,193.25,50.1,False
CLM-0009,clean,3614.58,3614.58,0.0,True
CLM-0010,arithmetic_error,1180.5,1345.77,165.27,False
CLM-0011,clean,1326.82,1326.82,0.0,True
CLM-0012,damages_over_allowance,278.47,435.05,156.58,False
CLM-0013,clean,46.05,46.05,0.0,True
CLM-0014,clean,42.66,42.66,0.0,True
CLM-0015,clean,591.08,591.08,0.0,True
CLM-0016,clean,1516.78,1516.78,0.0,True
CLM-0017,no_promo_backing,0.0,1058.21,1058.21,False
CLM-0018,clean,151.61,151.61,0.0,True
CLM-0019,clean,591.57,591.57,0.0,True
CLM-0020,clean,1320.27,1320.27,0.0,True
CLM-0021,clean,40.96,40.96,0.0,True
CLM-0022,clean,383.22,383.22,0.0,True
CLM-0023,clean,422.05,422.05,0.0,True
CLM-0024,clean,318.18,318.18,0.0,True
CLM-0025,clean,589.61,589.61,0.0,True
CLM-0026,clean,39.34,39.34,0.0,True
CLM-0027,clean,895.35,895.35,0.0,True
CLM-0028,clean,196.19,196.19,0.0,True
CLM-0029,clean,208.28,208.28,0.0,True
CLM-0030,arithmetic_error,1027.03,1252.98,225.95,False
CLM-0031,clean,226.93,226.93,0.0,True
CLM-0032,clean,3495.5,3495.5,0.0,True
CLM-0033,duplicate,0.0,1624.71,1624.71,False
CLM-0034,clean,896.96,896.96,0.0,True
CLM-0035,arithmetic_error,226.86,245.01,18.15,False
CLM-0036,clean,76.55,76.55,0.0,True
CLM-0037,clean,436.4,436.4,0.0,True
CLM-0038,clean,900.96,900.96,0.0,True
CLM-0039,arithmetic_error,47.03,53.61,6.58,False
CLM-0040,damages_over_allowance,74.3,124.77,50.47,False
CLM-0041,clean,1133.63,1133.63,0.0,True
CLM-0042,clean,5922.31,5922.31,0.0,True
CLM-0043,clean,256.62,256.62,0.0,True
CLM-0044,clean,39.75,39.75,0.0,True
CLM-0045,clean,152.98,152.98,0.0,True
CLM-0046,clean,315.04,315.04,0.0,True
CLM-0047,clean,141.35,141.35,0.0,True
CLM-0048,clean,1108.69,1108.69,0.0,True
CLM-0049,clean,1392.98,1392.98,0.0,True
CLM-0050,clean,1498.19,1498.19,0.0,True
CLM-0051,damages_over_allowance,232.05,342.61,110.56,False
CLM-0052,clean,699.95,699.95,0.0,True
CLM-0053,clean,129.48,129.48,0.0,True
CLM-0054,clean,1280.11,1280.11,0.0,True
CLM-0055,clean,1275.23,1275.23,0.0,True
CLM-0056,duplicate,0.0,877.45,877.45,False
CLM-0057,arithmetic_error,877.37,1070.39,193.02,False
CLM-0058,damages_over_allowance,150.44,245.47,95.03,False
CLM-0059,clean,225.53,225.53,0.0,True
CLM-0060,clean,604.45,604.45,0.0,True
CLM-0061,clean,52.52,52.52,0.0,True
CLM-0062,clean,345.35,345.35,0.0,True
CLM-0063,clean,1343.87,1343.87,0.0,True
CLM-0064,clean,39.55,39.55,0.0,True
CLM-0065,clean,350.81,350.81,0.0,True
CLM-0066,clean,39.63,39.63,0.0,True
CLM-0067,clean,899.91,899.91,0.0,True
CLM-0068,clean,233.96,233.96,0.0,True
CLM-0069,clean,918.35,918.35,0.0,True
CLM-0070,clean,128.09,128.09,0.0,True
CLM-0071,damages_over_allowance,101.92,189.78,87.86,False
CLM-0072,clean,40.93,40.93,0.0,True
CLM-0073,clean,581.16,581.16,0.0,True
CLM-0074,clean,114.58,114.58,0.0,True
CLM-0075,clean,177.14,177.14,0.0,True
CLM-0076,clean,1086.51,1086.51,0.0,True
CLM-0077,clean,1402.79,1402.79,0.0,True
CLM-0078,clean,114.5,114.5,0.0,True
CLM-0079,clean,433.97,433.97,0.0,True
CLM-0080,clean,1122.76,1122.76,0.0,True
CLM-0081,arithmetic_error,1407.27,1604.29,197.02,False
CLM-0082,damages_over_allowance,192.46,293.47,101.01,False
CLM-0083,clean,899.79,899.79,0.0,True
CLM-0084,clean,3495.27,3495.27,0.0,True
CLM-0085,clean,102.87,102.87,0.0,True
CLM-0086,clean,244.62,244.62,0.0,True
CLM-0087,no_promo_backing,0.0,1715.3,1715.3,False
CLM-0088,expired_window,590.07,590.07,0.0,False
CLM-0089,expired_window,1326.65,1326.65,0.0,False
CLM-0090,clean,245.97,245.97,0.0,True
CLM-0091,arithmetic_error,46.96,63.4,16.44,False
CLM-0092,arithmetic_error,40.22,54.3,14.08,False
CLM-0093,clean,93.54,93.54,0.0,True
CLM-0094,clean,301.57,301.57,0.0,True
CLM-0095,clean,258.3,258.3,0.0,True
CLM-0096,expired_window,347.26,347.26,0.0,False
CLM-0097,expired_window,214.08,214.08,0.0,False
CLM-0098,clean,176.28,176.28,0.0,True
CLM-0099,clean,323.05,323.05,0.0,True
CLM-0100,clean,70.91,70.91,0.0,True
CLM-0101,clean,40.7,40.7,0.0,True
CLM-0102,arithmetic_error,258.11,348.45,90.34,False
CLM-0103,clean,228.43,228.43,0.0,True
CLM-0104,clean,390.36,390.36,0.0,True
CLM-0105,clean,40.42,40.42,0.0,True
CLM-0106,duplicate,0.0,191.12,191.12,False
CLM-0107,clean,886.56,886.56,0.0,True
CLM-0108,damages_over_allowance,117.99,222.98,104.99,False
CLM-0109,clean,50.96,50.96,0.0,True
CLM-0110,clean,1370.69,1370.69,0.0,True
CLM-0111,clean,130.38,130.38,0.0,True
CLM-0112,clean,104.83,104.83,0.0,True
CLM-0113,clean,105.22,105.22,0.0,True
CLM-0114,clean,232.27,232.27,0.0,True
CLM-0115,clean,73.64,73.64,0.0,True
CLM-0116,clean,251.6,251.6,0.0,True
CLM-0117,clean,239.82,239.82,0.0,True
CLM-0118,clean,198.24,198.24,0.0,True
CLM-0119,clean,690.49,690.49,0.0,True
CLM-0120,clean,238.99,238.99,0.0,True
CLM-0121,clean,1032.84,1032.84,0.0,True
CLM-0122,clean,67.85,67.85,0.0,True
CLM-0123,clean,751.51,751.51,0.0,True
CLM-0124,no_promo_backing,0.0,1129.86,1129.86,False
CLM-0125,clean,756.99,756.99,0.0,True
CLM-0126,clean,127.99,127.99,0.0,True
CLM-0127,clean,368.07,368.07,0.0,True
CLM-0128,clean,1123.78,1123.78,0.0,True
CLM-0129,clean,142.82,142.82,0.0,True
CLM-0130,clean,1368.09,1368.09,0.0,True
CLM-0131,clean,398.27,398.27,0.0,True
CLM-0132,clean,914.32,914.32,0.0,True
CLM-0133,clean,39.14,39.14,0.0,True
CLM-0134,damages_over_allowance,177.62,318.51,140.89,False
CLM-0135,clean,1066.04,1066.04,0.0,True
CLM-0136,arithmetic_error,132.47,161.61,29.14,False
CLM-0137,clean,438.54,438.54,0.0,True
CLM-0138,clean,156.86,156.86,0.0,True
CLM-0139,clean,325.17,325.17,0.0,True
CLM-0140,expired_window,239.51,239.51,0.0,False
CLM-0141,arithmetic_error,122.6,132.41,9.81,False
CLM-0142,expired_window,892.94,892.94,0.0,False
CLM-0143,clean,86.19,86.19,0.0,True
CLM-0144,clean,39.65,39.65,0.0,True
CLM-0145,expired_window,1368.6,1368.6,0.0,False
CLM-0146,clean,443.79,443.79,0.0,True
CLM-0147,clean,114.82,114.82,0.0,True
CLM-0148,clean,49.38,49.38,0.0,True
CLM-0149,clean,40.71,40.71,0.0,True
CLM-0150,clean,449.69,449.69,0.0,True
CLM-0151,duplicate,0.0,484.78,484.78,False
CLM-0152,clean,610.43,610.43,0.0,True
CLM-0153,clean,1491.8,1491.8,0.0,True
CLM-0154,arithmetic_error,1021.6,1164.62,143.02,False
CLM-0155,clean,594.89,594.89,0.0,True
CLM-0156,clean,149.02,149.02,0.0,True
CLM-0157,damages_over_allowance,166.74,288.43,121.69,False
CLM-0158,clean,97.1,97.1,0.0,True
CLM-0159,clean,79.47,79.47,0.0,True
CLM-0160,clean,175.06,175.06,0.0,True
CLM-0161,clean,602.8,602.8,0.0,True
CLM-0162,clean,393.86,393.86,0.0,True
CLM-0163,clean,186.41,186.41,0.0,True
CLM-0164,clean,312.42,312.42,0.0,True
CLM-0165,clean,268.05,268.05,0.0,True
CLM-0166,clean,39.47,39.47,0.0,True
CLM-0167,clean,603.78,603.78,0.0,True
CLM-0168,clean,301.81,301.81,0.0,True
CLM-0169,clean,39.68,39.68,0.0,True
CLM-0170,clean,1372.29,1372.29,0.0,True
CLM-0171,clean,908.02,908.02,0.0,True
CLM-0172,clean,480.75,480.75,0.0,True
CLM-0173,clean,65.32,65.32,0.0,True
CLM-0174,clean,39.8,39.8,0.0,True
CLM-0175,clean,503.58,503.58,0.0,True
CLM-0176,clean,447.24,447.24,0.0,True
CLM-0177,clean,113.96,113.96,0.0,True
CLM-0178,clean,313.01,313.01,0.0,True
CLM-0179,clean,860.71,860.71,0.0,True
CLM-0180,clean,424.83,424.83,0.0,True
CLM-0181,clean,39.91,39.91,0.0,True
CLM-0182,expired_window,170.88,170.88,0.0,False
CLM-0183,clean,216.35,216.35,0.0,True
CLM-0184,clean,87.3,87.3,0.0,True
CLM-0185,clean,228.63,228.63,0.0,True
CLM-0186,clean,62.31,62.31,0.0,True
CLM-0187,duplicate,0.0,1286.03,1286.03,False
CLM-0188,clean,373.22,373.22,0.0,True
CLM-0189,clean,907.58,907.58,0.0,True
CLM-0190,clean,1128.03,1128.03,0.0,True
CLM-0191,clean,41.41,41.41,0.0,True
CLM-0192,clean,270.34,270.34,0.0,True
CLM-0193,clean,1044.86,1044.86,0.0,True
CLM-0194,damages_over_allowance,65.6,113.77,48.17,False
CLM-0195,clean,181.65,181.65,0.0,True
CLM-0196,clean,360.31,360.31,0.0,True
CLM-0197,clean,54.32,54.32,0.0,True
CLM-0198,clean,201.79,201.79,0.0,True
CLM-0199,clean,887.49,887.49,0.0,True
CLM-0200,clean,207.91,207.91,0.0,True
CLM-0201,duplicate,0.0,265.73,265.73,False
CLM-0202,clean,861.97,861.97,0.0,True
CLM-0203,clean,70.1,70.1,0.0,True
CLM-0204,clean,609.76,609.76,0.0,True
CLM-0205,clean,2966.01,2966.01,0.0,True
CLM-0206,clean,911.92,911.92,0.0,True
CLM-0207,clean,39.12,39.12,0.0,True
CLM-0208,no_promo_backing,0.0,306.88,306.88,False
CLM-0209,clean,1192.8,1192.8,0.0,True
