invoice_id,retailer_id,invoice_date,sku,units_shipped,unit_price_usd,gross_invoice_usd,trade_discount_pct
INV-001-0000,RET-001,2026-01-31,SKU-PAD-DAY-10,3186,4.655,14830.83,0.05
INV-001-0001,RET-001,2026-04-30,SKU-PAD-NGT-10,3490,6.2,21638.0,0.0
INV-001-0002,RET-001,2026-08-05,SKU-PAD-DAY-10,739,4.655,3440.04,0.05
INV-001-0003,RET-001,2026-05-31,SKU-PAD-LIN-20,3140,3.23,10142.2,0.05
INV-001-0004,RET-001,2026-02-04,SKU-PAD-LIN-20,861,3.128,2693.21,0.08
INV-001-0005,RET-001,2026-07-19,SKU-PAD-LIN-20,1734,3.4,5895.6,0.0
INV-001-0006,RET-001,2026-06-13,SKU-DIA-NB-32,2717,11.5,31245.5,0.0
INV-001-0007,RET-001,2025-11-18,SKU-PAD-LIN-20,1996,3.4,6786.4,0.0
INV-001-0008,RET-001,2025-09-23,SKU-PAD-DAY-10,2396,4.508,10801.17,0.08
INV-001-0009,RET-001,2026-04-08,SKU-DIA-NB-32,3379,11.5,38858.5,0.0
INV-001-0010,RET-001,2026-01-02,SKU-PAD-DAY-10,3129,4.655,14565.5,0.05
INV-001-0011,RET-001,2026-07-07,SKU-PAD-DAY-10,3894,4.9,19080.6,0.0
INV-001-0012,RET-001,2025-11-07,SKU-PAD-LIN-20,3202,3.128,10015.86,0.08
INV-001-0013,RET-001,2025-09-16,SKU-PAD-NGT-10,2080,6.2,12896.0,0.0
INV-001-0014,RET-001,2026-04-26,SKU-PAD-LIN-20,955,3.23,3084.65,0.05
INV-001-0015,RET-001,2026-08-02,SKU-DIA-NB-32,3081,11.5,35431.5,0.0
INV-001-0016,RET-001,2026-01-07,SKU-PAD-NGT-10,1572,5.704,8966.69,0.08
INV-001-0017,RET-001,2025-11-05,SKU-PAD-DAY-10,2090,4.508,9421.72,0.08
INV-001-0018,RET-001,2026-02-13,SKU-PAD-NGT-10,867,5.89,5106.63,0.05
INV-001-0019,RET-001,2026-04-21,SKU-PAD-NGT-10,1216,5.89,7162.24,0.05
INV-001-0020,RET-001,2026-06-16,SKU-DIA-NB-32,1973,11.5,22689.5,0.0
INV-001-0021,RET-001,2025-12-18,SKU-PAD-LIN-20,2920,3.4,9928.0,0.0
INV-001-0022,RET-001,2026-06-07,SKU-DIA-NB-32,3396,11.5,39054.0,0.0
INV-001-0023,RET-001,2025-12-10,SKU-DIA-NB-32,1794,10.58,18980.52,0.08
INV-001-0024,RET-001,2025-10-19,SKU-PAD-DAY-10,2856,4.655,13294.68,0.05
INV-001-0025,RET-001,2025-09-03,SKU-DIA-NB-32,1119,10.58,11839.02,0.08
INV-001-0026,RET-001,2026-04-19,SKU-DIA-NB-32,3232,10.58,34194.56,0.08
INV-001-0027,RET-001,2026-05-29,SKU-PAD-NGT-10,2938,6.2,18215.6,0.0
INV-001-0028,RET-001,2026-03-17,SKU-PAD-LIN-20,2052,3.23,6627.96,0.05
INV-001-0029,RET-001,2025-10-10,SKU-PAD-DAY-10,903,4.9,4424.7,0.0
INV-001-0030,RET-001,2026-02-11,SKU-PAD-NGT-10,2806,5.89,16527.34,0.05
INV-001-0031,RET-001,2026-05-24,SKU-DIA-NB-32,2434,11.5,27991.0,0.0
INV-001-0032,RET-001,2026-03-12,SKU-PAD-LIN-20,2684,3.23,8669.32,0.05
INV-001-0033,RET-001,2025-12-15,SKU-PAD-DAY-10,2413,4.508,10877.8,0.08
INV-001-0034,RET-001,2026-01-30,SKU-PAD-LIN-20,510,3.4,1734.0,0.0
INV-001-0035,RET-001,2026-01-20,SKU-DIA-NB-32,1172,11.5,13478.0,0.0
INV-001-0036,RET-001,2025-11-21,SKU-DIA-NB-32,3472,11.5,39928.0,0.0
INV-001-0037,RET-001,2025-12-07,SKU-DIA-NB-32,609,10.58,6443.22,0.08
INV-001-0038,RET-001,2026-04-18,SKU-DIA-NB-32,1456,11.5,16744.0,0.0
INV-001-0039,RET-001,2026-05-31,SKU-PAD-DAY-10,2405,4.655,11195.28,0.05
INV-001-0040,RET-001,2026-01-20,SKU-DIA-NB-32,2791,11.5,32096.5,0.0
INV-001-0041,RET-001,2025-10-28,SKU-PAD-NGT-10,3330,6.2,20646.0,0.0
INV-001-0042,RET-001,2025-10-02,SKU-PAD-NGT-10,481,6.2,2982.2,0.0
INV-001-0043,RET-001,2026-02-08,SKU-DIA-NB-32,3000,10.925,32775.0,0.05
INV-002-0000,RET-002,2026-02-21,SKU-PAD-LIN-20,980,3.128,3065.44,0.08
INV-002-0001,RET-002,2026-04-30,SKU-DIA-NB-32,948,11.5,10902.0,0.0
INV-002-0002,RET-002,2026-01-11,SKU-PAD-NGT-10,2006,6.2,12437.2,0.0
INV-002-0003,RET-002,2026-04-07,SKU-PAD-DAY-10,1485,4.655,6912.68,0.05
INV-002-0004,RET-002,2025-10-01,SKU-PAD-LIN-20,1702,3.128,5323.86,0.08
INV-002-0005,RET-002,2026-07-31,SKU-PAD-NGT-10,824,6.2,5108.8,0.0
INV-002-0006,RET-002,2026-05-01,SKU-PAD-NGT-10,3670,6.2,22754.0,0.0
INV-002-0007,RET-002,2026-08-03,SKU-PAD-NGT-10,1357,5.704,7740.33,0.08
INV-002-0008,RET-002,2026-05-07,SKU-PAD-NGT-10,3203,6.2,19858.6,0.0
INV-002-0009,RET-002,2025-12-04,SKU-DIA-NB-32,2017,10.925,22035.72,0.05
INV-002-0010,RET-002,2026-07-11,SKU-PAD-DAY-10,747,4.9,3660.3,0.0
INV-002-0011,RET-002,2025-11-10,SKU-PAD-DAY-10,2040,4.655,9496.2,0.05
INV-002-0012,RET-002,2026-03-20,SKU-PAD-LIN-20,1501,3.128,4695.13,0.08
INV-003-0000,RET-003,2026-06-25,SKU-PAD-LIN-20,1036,3.4,3522.4,0.0
INV-003-0001,RET-003,2026-05-08,SKU-PAD-DAY-10,3130,4.9,15337.0,0.0
INV-003-0002,RET-003,2026-04-06,SKU-PAD-LIN-20,1955,3.4,6647.0,0.0
INV-003-0003,RET-003,2026-04-14,SKU-PAD-DAY-10,2502,4.9,12259.8,0.0
INV-003-0004,RET-003,2026-01-23,SKU-PAD-LIN-20,703,3.128,2198.98,0.08
INV-003-0005,RET-003,2026-02-19,SKU-DIA-NB-32,549,11.5,6313.5,0.0
INV-003-0006,RET-003,2025-10-21,SKU-PAD-DAY-10,1587,4.655,7387.48,0.05
INV-003-0007,RET-003,2026-03-23,SKU-PAD-LIN-20,772,3.4,2624.8,0.0
INV-003-0008,RET-003,2026-07-19,SKU-DIA-NB-32,1014,11.5,11661.0,0.0
INV-003-0009,RET-003,2025-12-30,SKU-DIA-NB-32,2491,11.5,28646.5,0.0
INV-003-0010,RET-003,2025-09-08,SKU-PAD-LIN-20,2527,3.4,8591.8,0.0
INV-003-0011,RET-003,2026-02-15,SKU-PAD-DAY-10,3850,4.9,18865.0,0.0
INV-003-0012,RET-003,2025-09-29,SKU-PAD-NGT-10,3217,6.2,19945.4,0.0
INV-003-0013,RET-003,2026-02-18,SKU-PAD-NGT-10,2151,5.89,12669.39,0.05
