shipment_id,retailer_id,invoice_id,ship_date,delivery_date,units_shipped,units_received,units_damaged
SHP-00000,RET-001,INV-001-0000,2026-01-31,2026-02-06,3186,3174,12
SHP-00001,RET-001,INV-001-0001,2026-04-30,2026-05-08,3490,3490,0
SHP-00002,RET-001,INV-001-0002,2026-08-05,2026-08-08,739,739,0
SHP-00003,RET-001,INV-001-0003,2026-05-31,2026-06-02,3140,3140,0
SHP-00004,RET-001,INV-001-0004,2026-02-04,2026-02-12,861,858,3
SHP-00005,RET-001,INV-001-0005,2026-07-19,2026-07-27,1734,1734,0
SHP-00006,RET-001,INV-001-0006,2026-06-13,2026-06-15,2717,2658,59
SHP-00007,RET-001,INV-001-0007,2025-11-18,2025-11-20,1996,1996,0
SHP-00008,RET-001,INV-001-0008,2025-09-23,2025-09-27,2396,2305,91
SHP-00009,RET-001,INV-001-0009,2026-04-08,2026-04-14,3379,3379,0
SHP-00010,RET-001,INV-001-0010,2026-01-02,2026-01-09,3129,3061,68
SHP-00011,RET-001,INV-001-0011,2026-07-07,2026-07-14,3894,3747,147
SHP-00012,RET-001,INV-001-0012,2025-11-07,2025-11-10,3202,3081,121
SHP-00013,RET-001,INV-001-0013,2025-09-16,2025-09-20,2080,2035,45
SHP-00014,RET-001,INV-001-0014,2026-04-26,2026-05-02,955,934,21
SHP-00015,RET-001,INV-001-0015,2026-08-02,2026-08-08,3081,3048,33
SHP-00016,RET-001,INV-001-0016,2026-01-07,2026-01-13,1572,1538,34
SHP-00017,RET-001,INV-001-0017,2025-11-05,2025-11-12,2090,2090,0
SHP-00018,RET-001,INV-001-0018,2026-02-13,2026-02-20,867,864,3
SHP-00019,RET-001,INV-001-0019,2026-04-21,2026-04-25,1216,1212,4
SHP-00020,RET-001,INV-001-0020,2026-06-16,2026-06-24,1973,1899,74
SHP-00021,RET-001,INV-001-0021,2025-12-18,2025-12-25,2920,2909,11
SHP-00022,RET-001,INV-001-0022,2026-06-07,2026-06-14,3396,3396,0
SHP-00023,RET-001,INV-001-0023,2025-12-10,2025-12-16,1794,1775,19
SHP-00024,RET-001,INV-001-0024,2025-10-19,2025-10-22,2856,2856,0
SHP-00025,RET-001,INV-001-0025,2025-09-03,2025-09-05,1119,1119,0
SHP-00026,RET-001,INV-001-0026,2026-04-19,2026-04-24,3232,3220,12
SHP-00027,RET-001,INV-001-0027,2026-05-29,2026-06-01,2938,2938,0
SHP-00028,RET-001,INV-001-0028,2026-03-17,2026-03-23,2052,2052,0
SHP-00029,RET-001,INV-001-0029,2025-10-10,2025-10-14,903,903,0
SHP-00030,RET-001,INV-001-0030,2026-02-11,2026-02-16,2806,2806,0
SHP-00031,RET-001,INV-001-0031,2026-05-24,2026-05-31,2434,2434,0
SHP-00032,RET-001,INV-001-0032,2026-03-12,2026-03-17,2684,2684,0
SHP-00033,RET-001,INV-001-0033,2025-12-15,2025-12-18,2413,2387,26
SHP-00034,RET-001,INV-001-0034,2026-01-30,2026-02-02,510,510,0
SHP-00035,RET-001,INV-001-0035,2026-01-20,2026-01-27,1172,1128,44
SHP-00036,RET-001,INV-001-0036,2025-11-21,2025-11-27,3472,3341,131
SHP-00037,RET-001,INV-001-0037,2025-12-07,2025-12-14,609,607,2
SHP-00038,RET-001,INV-001-0038,2026-04-18,2026-04-25,1456,1456,0
SHP-00039,RET-001,INV-001-0039,2026-05-31,2026-06-05,2405,2396,9
SHP-00040,RET-001,INV-001-0040,2026-01-20,2026-01-28,2791,2730,61
SHP-00041,RET-001,INV-001-0041,2025-10-28,2025-11-02,3330,3294,36
SHP-00042,RET-001,INV-001-0042,2025-10-02,2025-10-05,481,471,10
SHP-00043,RET-001,INV-001-0043,2026-02-08,2026-02-13,3000,2988,12
SHP-00044,RET-002,INV-002-0000,2026-02-21,2026-02-28,980,970,10
SHP-00045,RET-002,INV-002-0001,2026-04-30,2026-05-02,948,948,0
SHP-00046,RET-002,INV-002-0002,2026-01-11,2026-01-14,2006,1962,44
SHP-00047,RET-002,INV-002-0003,2026-04-07,2026-04-09,1485,1485,0
SHP-00048,RET-002,INV-002-0004,2025-10-01,2025-10-07,1702,1684,18
SHP-00049,RET-002,INV-002-0005,2026-07-31,2026-08-05,824,793,31
SHP-00050,RET-002,INV-002-0006,2026-05-01,2026-05-09,3670,3670,0
SHP-00051,RET-002,INV-002-0007,2026-08-03,2026-08-11,1357,1343,14
SHP-00052,RET-002,INV-002-0008,2026-05-07,2026-05-13,3203,3203,0
SHP-00053,RET-002,INV-002-0009,2025-12-04,2025-12-10,2017,1973,44
SHP-00054,RET-002,INV-002-0010,2026-07-11,2026-07-17,747,747,0
SHP-00055,RET-002,INV-002-0011,2025-11-10,2025-11-15,2040,1963,77
SHP-00056,RET-002,INV-002-0012,2026-03-20,2026-03-27,1501,1501,0
SHP-00057,RET-003,INV-003-0000,2026-06-25,2026-07-03,1036,997,39
SHP-00058,RET-003,INV-003-0001,2026-05-08,2026-05-11,3130,3062,68
SHP-00059,RET-003,INV-003-0002,2026-04-06,2026-04-10,1955,1934,21
SHP-00060,RET-003,INV-003-0003,2026-04-14,2026-04-19,2502,2447,55
SHP-00061,RET-003,INV-003-0004,2026-01-23,2026-01-31,703,688,15
SHP-00062,RET-003,INV-003-0005,2026-02-19,2026-02-27,549,529,20
SHP-00063,RET-003,INV-003-0006,2025-10-21,2025-10-23,1587,1587,0
SHP-00064,RET-003,INV-003-0007,2026-03-23,2026-03-30,772,764,8
